Date,Adj.Close,Volume,GSPC.Adjusted,SMA_50,rsi,avg_sentiment,count
2023-07-19,194.06935119628903,80507300.0,4565.72021484375,181.70059780929688,63.57066137192037,0.11868348,57
2023-07-20,192.1097717285156,59581200.0,4534.8701171875,182.0775863438672,62.00172646373798,0.055411782,83
2023-07-21,190.92605590820312,71917800.0,4536.33984375,182.46545256203123,61.073011853675425,0.11033736,59
2023-07-24,191.73175048828125,45377800.0,4554.64013671875,182.83368223179687,61.47365659636261,0.11110441,21
2023-07-25,192.59715270996097,37283200.0,4567.4599609375,183.21542508599612,61.90323699535348,-0.14944692,29
2023-07-26,193.47251892089844,47471900.0,4566.75,183.6334753244141,62.33652730011581,0.17600997,33
2023-07-27,192.19927978515625,47460200.0,4537.41015625,184.0360607801172,61.3021312796771,0.099316575,63
2023-07-28,194.7955017089844,48291400.0,4582.22998046875,184.4905706742969,62.59313517429844,0.014229178,63
2023-07-31,195.41221618652344,38824100.0,4588.9599609375,184.94501495802737,62.89307763053581,0.05033662,72
2023-08-01,194.57664489746097,35175100.0,4576.72998046875,185.33554779597657,62.203786025874706,0.06894407,77
2023-08-02,191.56265258789065,50389300.0,4513.39013671875,185.6636007677344,59.79272986593441,-0.02817243,56
2023-08-03,190.1601104736328,61235200.0,4501.89013671875,185.98280303720705,58.712551672197215,-0.070236176,50
2023-08-04,181.0286102294922,115799700.0,4478.02978515625,186.17217528179688,52.42331549092487,-0.10637162,102
2023-08-07,177.90518188476562,97576100.0,4518.43994140625,186.29347899949215,50.53468877819259,-0.10133447,61
2023-08-08,178.85015869140625,67823000.0,4499.3798828125,186.41068207332032,51.07857804639536,0.02918175,75
2023-08-09,177.24867248535156,60378500.0,4467.7099609375,186.44705566302736,50.12583973439774,-0.006713348,65
2023-08-10,177.02984619140625,54686900.0,4468.830078125,186.44165252685548,49.99586904354052,0.060536057,57
2023-08-11,177.089599609375,51988100.0,4464.0498046875,186.45717163085936,50.03195510981073,0.02668843,54
2023-08-14,178.75303649902344,43675600.0,4489.72021484375,186.4494598388672,51.03532323000607,0.041545995,31
2023-08-15,176.75094604492188,43622600.0,4437.85986328125,186.38459686279296,49.80748792281969,0.017280763,64
2023-08-16,175.87442016601562,46964900.0,4404.330078125,186.32945861816407,49.278063344781174,-0.026490595,28
2023-08-17,173.3145294189453,66062900.0,4370.35986328125,186.2304830932617,47.765611141260166,-0.14978534,55
2023-08-18,173.8026123046875,61114200.0,4369.7099609375,186.16892272949215,48.075547321163015,0.0919675,45
2023-08-21,175.14727783203125,46311900.0,4399.77001953125,186.0795462036133,48.92713012598621,-0.0008485107,44
2023-08-22,176.53179931640625,42084200.0,4387.5498046875,186.01010131835935,49.79192699659892,0.049284685,46
2023-08-23,180.4064788818359,52722800.0,4436.009765625,185.9618490600586,52.106834560669704,0.024013339,17
2023-08-24,175.68515014648438,54945800.0,4376.31005859375,185.8287197875977,49.28271335883747,-0.04077991,52
2023-08-25,177.9063720703125,51449600.0,4405.7099609375,185.72728240966796,50.56835977718684,-0.017794542,42
2023-08-28,179.48016357421875,43820700.0,4433.31005859375,185.6163381958008,51.45764644074955,-0.046465196,43
2023-08-29,183.3946533203125,53003900.0,4497.6298828125,185.60536895751952,53.576508542887325,0.08319035,22
2023-08-30,186.91075134277344,60813900.0,4514.8701171875,185.6629312133789,55.3616632294971,0.0006032267,64
2023-08-31,187.12989807128903,60794500.0,4507.66015625,185.74576538085935,55.47052110561763,0.09261869,60
2023-09-01,188.71365356445312,45732600.0,4515.77001953125,185.7997958374023,56.25686954010277,0.11724523,47
2023-09-05,188.95269775390625,45280000.0,4496.830078125,185.86497344970704,56.37547055305827,-0.009306185,17
2023-09-06,182.18943786621097,81755800.0,4465.47998046875,185.82293701171875,52.28447204034486,-0.14488325,54
